"statistic, pvalue, row is better than column",best set: template_2,template_16,template_3,template_17,template_13,template_33,template_8,template_12,template_44,template_10,template_39,template_41,template_6,template_37,template_11,template_38,template_7,template_4,template_35,template_5,template_9,template_47,template_31,template_45,template_0,template_40,template_19,template_36,template_32,template_29,template_42,template_30,template_28,template_46,template_18,template_34,template_20,template_1,template_14,template_15,template_43,group,accuracy
template_2,None,"11.00, 0.84, True","37.00, 0.82, True","38.00, 0.74, True","37.00, 0.65, True","36.00, 0.57, True","8.00, 0.21, True","16.00, 0.27, True","13.00, 0.18, True","12.00, 0.16, True","37.00, 0.38, True","38.00, 0.33, True","15.00, 0.15, True","36.00, 0.32, True","35.00, 0.31, True","19.00, 0.19, True","36.00, 0.23, True","15.00, 0.09, True","40.00, 0.21, True","36.00, 0.19, True","34.00, 0.15, True","34.00, 0.10, True","33.00, 0.10, True","29.00, 0.08, True","14.00, 0.02, True","22.00, 0.04, True","35.00, 0.09, True","9.00, 0.00, True","16.00, 0.02, True","39.00, 0.08, True","21.00, 0.02, True","8.00, 0.00, True","18.00, 0.01, True","16.00, 0.01, True","20.00, 0.01, True","16.00, 0.00, True","20.00, 0.00, True","31.00, 0.01, True","22.00, 0.00, True","32.00, 0.00, True","29.00, 0.00, True",A,0.667
template_16,"11.00, 0.84, False",None,"40.00, 1.00, True","38.00, 0.91, True","44.00, 0.83, True","39.00, 0.74, True","13.00, 0.47, True","22.00, 0.48, True","15.00, 0.32, True","17.00, 0.35, True","42.00, 0.53, True","42.00, 0.47, True","22.00, 0.33, True","40.00, 0.46, True","40.00, 0.46, True","22.00, 0.33, True","41.00, 0.35, True","21.00, 0.21, True","42.00, 0.30, True","41.00, 0.30, True","42.00, 0.26, True","41.00, 0.18, True","38.00, 0.17, True","33.00, 0.15, True","21.00, 0.08, True","25.00, 0.08, True","38.00, 0.14, True","12.00, 0.02, True","20.00, 0.04, True","41.00, 0.13, True","25.00, 0.05, True","10.00, 0.01, True","21.00, 0.03, True","20.00, 0.02, True","21.00, 0.02, True","19.00, 0.01, True","21.00, 0.01, True","38.00, 0.02, True","25.00, 0.01, True","38.00, 0.00, True","38.00, 0.00, True",A,0.66
template_3,"37.00, 0.82, False","40.00, 1.00, False",None,"9.00, 1.00, True","25.00, 0.89, True","27.00, 0.79, True","39.00, 0.74, True","38.00, 0.66, True","36.00, 0.57, True","39.00, 0.59, True","23.00, 0.49, True","28.00, 0.45, True","37.00, 0.51, True","19.00, 0.37, True","19.00, 0.37, True","38.00, 0.51, True","20.00, 0.25, True","37.00, 0.38, True","29.00, 0.27, True","17.00, 0.17, True","16.00, 0.13, True","18.00, 0.09, True","10.00, 0.04, True","11.00, 0.04, True","33.00, 0.18, True","37.00, 0.17, True","25.00, 0.10, True","34.00, 0.12, True","35.00, 0.13, True","23.00, 0.07, True","32.00, 0.09, True","34.00, 0.10, True","36.00, 0.09, True","33.00, 0.08, True","39.00, 0.08, True","35.00, 0.04, True","37.00, 0.04, True","20.00, 0.01, True","39.00, 0.03, True","21.00, 0.00, True","17.00, 0.00, True",A,0.657
template_17,"38.00, 0.74, False","38.00, 0.91, False","9.00, 1.00, False",None,"27.00, 1.00, True","30.00, 0.90, True","39.00, 0.82, True","40.00, 0.74, True","34.00, 0.64, True","40.00, 0.66, True","22.00, 0.57, True","27.00, 0.52, True","40.00, 0.59, True","22.00, 0.48, True","17.00, 0.43, True","37.00, 0.58, True","23.00, 0.34, True","38.00, 0.45, True","29.00, 0.33, True","18.00, 0.23, True","19.00, 0.19, True","19.00, 0.12, True","12.00, 0.07, True","12.00, 0.07, True","35.00, 0.22, True","37.00, 0.20, True","23.00, 0.12, True","34.00, 0.15, True","34.00, 0.15, True","21.00, 0.08, True","34.00, 0.12, True","33.00, 0.12, True","35.00, 0.11, True","34.00, 0.10, True","40.00, 0.10, True","34.00, 0.05, True","39.00, 0.05, True","20.00, 0.01, True","42.00, 0.04, True","23.00, 0.00, True","19.00, 0.00, True",A,0.654
template_13,"37.00, 0.65, False","44.00, 0.83, False","25.00, 0.89, False","27.00, 1.00, False",None,"29.00, 1.00, True","43.00, 0.92, True","36.00, 0.82, True","41.00, 0.75, True","38.00, 0.74, True","22.00, 0.67, True","24.00, 0.58, True","36.00, 0.65, True","24.00, 0.58, True","16.00, 0.51, True","42.00, 0.67, True","17.00, 0.35, True","37.00, 0.51, True","28.00, 0.38, True","16.00, 0.27, True","17.00, 0.22, True","19.00, 0.15, True","22.00, 0.18, True","19.00, 0.15, True","35.00, 0.27, True","42.00, 0.26, True","20.00, 0.13, True","37.00, 0.20, True","36.00, 0.19, True","22.00, 0.11, True","38.00, 0.17, True","37.00, 0.17, True","37.00, 0.14, True","35.00, 0.13, True","42.00, 0.13, True","38.00, 0.08, True","41.00, 0.07, True","12.00, 0.00, True","41.00, 0.05, True","18.00, 0.00, True","16.00, 0.00, True",A,0.651
template_33,"36.00, 0.57, False","39.00, 0.74, False","27.00, 0.79, False","30.00, 0.90, False","29.00, 1.00, False",None,"39.00, 1.00, True","37.00, 0.91, True","40.00, 0.83, True","39.00, 0.82, True","25.00, 0.78, True","27.00, 0.69, True","37.00, 0.73, True","20.00, 0.65, True","26.00, 0.69, True","38.00, 0.74, True","26.00, 0.51, True","38.00, 0.58, True","21.00, 0.39, True","23.00, 0.41, True","25.00, 0.36, True","24.00, 0.24, True","20.00, 0.20, True","26.00, 0.25, True","34.00, 0.31, True","34.00, 0.26, True","23.00, 0.18, True","32.00, 0.21, True","31.00, 0.20, True","16.00, 0.10, True","34.00, 0.18, True","34.00, 0.18, True","30.00, 0.13, True","35.00, 0.16, True","37.00, 0.14, True","26.00, 0.05, True","37.00, 0.08, True","22.00, 0.02, True","35.00, 0.04, True","24.00, 0.00, True","23.00, 0.00, True",A,0.648
template_8,"8.00, 0.21, False","13.00, 0.47, False","39.00, 0.74, False","39.00, 0.82, False","43.00, 0.92, False","39.00, 1.00, False",None,"23.00, 1.00, True","20.00, 0.88, True","17.00, 0.87, True","42.00, 0.91, True","46.00, 0.84, True","20.00, 0.76, True","40.00, 0.83, True","42.00, 0.83, True","23.00, 0.78, True","41.00, 0.67, True","21.00, 0.56, True","40.00, 0.59, True","39.00, 0.59, True","38.00, 0.51, True","38.00, 0.39, True","39.00, 0.39, True","35.00, 0.37, True","22.00, 0.27, True","27.00, 0.26, True","37.00, 0.33, True","15.00, 0.12, True","20.00, 0.16, True","41.00, 0.30, True","25.00, 0.16, True","13.00, 0.07, True","22.00, 0.11, True","21.00, 0.10, True","23.00, 0.09, True","19.00, 0.04, True","23.00, 0.04, True","37.00, 0.06, True","26.00, 0.03, True","39.00, 0.02, True","35.00, 0.00, True",A,0.645
template_12,"16.00, 0.27, False","22.00, 0.48, False","38.00, 0.66, False","40.00, 0.74, False","36.00, 0.82, False","37.00, 0.91, False","23.00, 1.00, False",None,"23.00, 1.00, True","13.00, 1.00, True","37.00, 1.00, True","41.00, 0.91, True","17.00, 0.87, True","39.00, 0.91, True","37.00, 0.91, True","19.00, 0.87, True","37.00, 0.73, True","16.00, 0.62, True","45.00, 0.68, True","35.00, 0.64, True","38.00, 0.58, True","34.00, 0.42, True","38.00, 0.45, True","33.00, 0.42, True","17.00, 0.28, True","19.00, 0.24, True","37.00, 0.38, True","17.00, 0.17, True","18.00, 0.18, True","38.00, 0.33, True","20.00, 0.16, True","18.00, 0.14, True","21.00, 0.13, True","17.00, 0.10, True","24.00, 0.12, True","18.00, 0.05, True","29.00, 0.08, True","37.00, 0.08, True","20.00, 0.02, True","37.00, 0.02, True","35.00, 0.00, True",A,0.642
template_44,"13.00, 0.18, False","15.00, 0.32, False","36.00, 0.57, False","34.00, 0.64, False","41.00, 0.75, False","40.00, 0.83, False","20.00, 0.88, False","23.00, 1.00, False",None,"23.00, 1.00, None","41.00, 1.00, None","43.00, 1.00, True","26.00, 1.00, True","41.00, 1.00, True","38.00, 1.00, True","27.00, 1.00, True","38.00, 0.82, True","25.00, 0.78, True","46.00, 0.76, True","40.00, 0.74, True","40.00, 0.66, True","38.00, 0.51, True","36.00, 0.50, True","32.00, 0.48, True","24.00, 0.42, True","29.00, 0.39, True","37.00, 0.44, True","18.00, 0.23, True","28.00, 0.32, True","41.00, 0.40, True","17.00, 0.17, True","17.00, 0.17, True","27.00, 0.21, True","20.00, 0.16, True","27.00, 0.18, True","25.00, 0.10, True","29.00, 0.10, True","35.00, 0.09, True","29.00, 0.06, True","38.00, 0.03, True","35.00, 0.00, True",A,0.639
template_10,"12.00, 0.16, False","17.00, 0.35, False","39.00, 0.59, False","40.00, 0.66, False","38.00, 0.74, False","39.00, 0.82, False","17.00, 0.87, False","13.00, 1.00, False","23.00, 1.00, True",None,"40.00, 1.00, None","44.00, 1.00, True","17.00, 1.00, True","41.00, 1.00, True","40.00, 1.00, True","17.00, 1.00, True","40.00, 0.83, True","16.00, 0.74, True","45.00, 0.76, True","38.00, 0.74, True","40.00, 0.66, True","38.00, 0.51, True","38.00, 0.51, True","34.00, 0.49, True","16.00, 0.34, True","20.00, 0.31, True","39.00, 0.45, True","16.00, 0.21, True","18.00, 0.23, True","41.00, 0.40, True","25.00, 0.25, True","14.00, 0.14, True","18.00, 0.14, True","19.00, 0.15, True","21.00, 0.13, True","17.00, 0.06, True","23.00, 0.07, True","36.00, 0.09, True","23.00, 0.04, True","38.00, 0.03, True","35.00, 0.00, True",A,0.639
