"statistic, pvalue, row is better than column",best set: template_8,template_24,template_10,template_2,template_16,template_22,template_12,template_30,template_50,template_38,template_26,template_36,template_6,template_54,template_4,template_52,template_18,template_44,template_40,template_48,template_28,template_0,template_34,template_32,template_46,template_14,template_20,template_3,template_7,template_25,template_17,template_45,template_5,template_53,template_49,template_47,template_42,template_19,template_41,template_13,template_31,template_23,template_39,template_37,template_33,template_11,template_9,template_35,template_29,template_55,template_27,template_51,template_43,template_15,template_21,template_1,group,accuracy
template_8,None,"19.00, 0.87, True","21.00, 0.77, True","16.00, 0.62, True","17.00, 0.35, True","10.00, 0.10, True","20.00, 0.16, True","19.00, 0.09, True","11.00, 0.02, True","18.00, 0.05, True","18.00, 0.03, True","11.00, 0.01, True","15.00, 0.01, True","20.00, 0.02, True","14.00, 0.01, True","18.00, 0.01, True","15.00, 0.00, True","14.00, 0.00, True","17.00, 0.00, True","20.00, 0.00, True","14.00, 0.00, True","12.00, 0.00, True","20.00, 0.00, True","17.00, 0.00, True","17.00, 0.00, True","11.00, 0.00, True","14.00, 0.00, True","26.00, 0.00, True","23.00, 0.00, True","29.00, 0.00, True","25.00, 0.00, True","28.00, 0.00, True","24.00, 0.00, True","25.00, 0.00, True","30.00, 0.00, True","26.00, 0.00, True","12.00, 0.00, True","25.00, 0.00, True","33.00, 0.00, True","29.00, 0.00, True","24.00, 0.00, True","26.00, 0.00, True","27.00, 0.00, True","29.00, 0.00, True","29.00, 0.00, True","15.00, 0.01, True","21.00, 0.00, True","27.00, 0.00, True","22.00, 0.00, True","28.00, 0.00, True","28.00, 0.00, True","25.00, 0.00, True","23.00, 0.00, True","19.00, 0.00, True","23.00, 0.00, True","19.00, 0.00, True",A,0.668
template_24,"19.00, 0.87, False",None,"10.00, 1.00, True","16.00, 0.86, True","21.00, 0.56, True","20.00, 0.31, True","11.00, 0.15, True","21.00, 0.17, True","13.00, 0.05, True","13.00, 0.05, True","6.00, 0.01, True","17.00, 0.04, True","15.00, 0.03, True","13.00, 0.01, True","12.00, 0.01, True","10.00, 0.01, True","11.00, 0.00, True","14.00, 0.01, True","14.00, 0.01, True","14.00, 0.00, True","12.00, 0.00, True","13.00, 0.00, True","16.00, 0.00, True","16.00, 0.00, True","13.00, 0.00, True","8.00, 0.00, True","12.00, 0.00, True","29.00, 0.00, True","28.00, 0.00, True","29.00, 0.00, True","27.00, 0.00, True","27.00, 0.00, True","26.00, 0.00, True","27.00, 0.00, True","32.00, 0.00, True","30.00, 0.00, True","11.00, 0.00, True","25.00, 0.00, True","34.00, 0.00, True","28.00, 0.00, True","28.00, 0.00, True","28.00, 0.00, True","30.00, 0.00, True","30.00, 0.00, True","28.00, 0.00, True","12.00, 0.00, True","24.00, 0.00, True","29.00, 0.00, True","27.00, 0.00, True","27.00, 0.00, True","28.00, 0.00, True","26.00, 0.00, True","25.00, 0.00, True","22.00, 0.00, True","26.00, 0.00, True","24.00, 0.00, True",A,0.662
template_10,"21.00, 0.77, False","10.00, 1.00, False",None,"19.00, 1.00, True","20.00, 0.65, True","25.00, 0.43, True","10.00, 0.18, True","20.00, 0.20, True","12.00, 0.07, True","13.00, 0.07, True","11.00, 0.03, True","18.00, 0.06, True","17.00, 0.04, True","11.00, 0.01, True","13.00, 0.02, True","8.00, 0.00, True","16.00, 0.02, True","15.00, 0.01, True","16.00, 0.01, True","16.00, 0.01, True","12.00, 0.00, True","11.00, 0.00, True","17.00, 0.00, True","16.00, 0.00, True","13.00, 0.00, True","11.00, 0.00, True","16.00, 0.00, True","28.00, 0.00, True","29.00, 0.00, True","27.00, 0.00, True","24.00, 0.00, True","26.00, 0.00, True","24.00, 0.00, True","27.00, 0.00, True","31.00, 0.00, True","27.00, 0.00, True","10.00, 0.00, True","25.00, 0.00, True","33.00, 0.00, True","25.00, 0.00, True","25.00, 0.00, True","28.00, 0.00, True","27.00, 0.00, True","30.00, 0.00, True","25.00, 0.00, True","13.00, 0.01, True","24.00, 0.00, True","30.00, 0.00, True","26.00, 0.00, True","24.00, 0.00, True","30.00, 0.00, True","24.00, 0.00, True","25.00, 0.00, True","24.00, 0.00, True","26.00, 0.00, True","23.00, 0.00, True",A,0.659
template_2,"16.00, 0.62, False","16.00, 0.86, False","19.00, 1.00, False",None,"11.00, 0.69, True","22.00, 0.48, True","19.00, 0.37, True","15.00, 0.20, True","14.00, 0.11, True","24.00, 0.19, True","14.00, 0.06, True","17.00, 0.08, True","17.00, 0.06, True","18.00, 0.05, True","13.00, 0.03, True","16.00, 0.03, True","13.00, 0.01, True","12.00, 0.01, True","22.00, 0.03, True","17.00, 0.01, True","13.00, 0.00, True","13.00, 0.00, True","20.00, 0.01, True","17.00, 0.00, True","14.00, 0.00, True","14.00, 0.00, True","14.00, 0.00, True","24.00, 0.00, True","31.00, 0.00, True","29.00, 0.00, True","24.00, 0.00, True","28.00, 0.00, True","28.00, 0.00, True","28.00, 0.00, True","30.00, 0.00, True","27.00, 0.00, True","12.00, 0.00, True","28.00, 0.00, True","30.00, 0.00, True","26.00, 0.00, True","21.00, 0.00, True","27.00, 0.00, True","27.00, 0.00, True","26.00, 0.00, True","29.00, 0.00, True","14.00, 0.02, True","21.00, 0.00, True","28.00, 0.00, True","25.00, 0.00, True","25.00, 0.00, True","28.00, 0.00, True","23.00, 0.00, True","27.00, 0.00, True","22.00, 0.00, True","26.00, 0.00, True","20.00, 0.00, True",A,0.656
template_16,"17.00, 0.35, False","21.00, 0.56, False","20.00, 0.65, False","11.00, 0.69, False",None,"25.00, 0.78, True","25.00, 0.68, True","14.00, 0.39, True","14.00, 0.24, True","27.00, 0.37, True","20.00, 0.20, True","20.00, 0.20, True","23.00, 0.18, True","23.00, 0.15, True","18.00, 0.11, True","22.00, 0.11, True","17.00, 0.06, True","12.00, 0.03, True","25.00, 0.08, True","20.00, 0.03, True","18.00, 0.02, True","17.00, 0.01, True","24.00, 0.03, True","24.00, 0.03, True","16.00, 0.01, True","18.00, 0.00, True","20.00, 0.00, True","28.00, 0.01, True","30.00, 0.01, True","35.00, 0.01, True","29.00, 0.00, True","29.00, 0.00, True","27.00, 0.00, True","32.00, 0.00, True","33.00, 0.00, True","29.00, 0.00, True","15.00, 0.00, True","29.00, 0.00, True","36.00, 0.00, True","32.00, 0.00, True","25.00, 0.00, True","35.00, 0.00, True","32.00, 0.00, True","33.00, 0.00, True","30.00, 0.00, True","15.00, 0.04, True","26.00, 0.00, True","28.00, 0.00, True","29.00, 0.00, True","33.00, 0.00, True","32.00, 0.00, True","26.00, 0.00, True","30.00, 0.00, True","27.00, 0.00, True","26.00, 0.00, True","26.00, 0.00, True",A,0.647
template_22,"10.00, 0.10, False","20.00, 0.31, False","25.00, 0.43, False","22.00, 0.48, False","25.00, 0.78, False",None,"31.00, 1.00, True","31.00, 0.80, True","20.00, 0.55, True","26.00, 0.60, True","24.00, 0.42, True","18.00, 0.36, True","23.00, 0.34, True","26.00, 0.31, True","25.00, 0.30, True","24.00, 0.24, True","24.00, 0.19, True","25.00, 0.20, True","24.00, 0.16, True","28.00, 0.12, True","25.00, 0.08, True","27.00, 0.07, True","29.00, 0.08, True","28.00, 0.08, True","26.00, 0.04, True","21.00, 0.02, True","17.00, 0.01, True","39.00, 0.03, True","36.00, 0.02, True","40.00, 0.02, True","38.00, 0.01, True","41.00, 0.01, True","37.00, 0.01, True","38.00, 0.01, True","39.00, 0.01, True","37.00, 0.01, True","21.00, 0.00, True","35.00, 0.00, True","42.00, 0.01, True","39.00, 0.00, True","39.00, 0.00, True","36.00, 0.00, True","41.00, 0.00, True","44.00, 0.00, True","42.00, 0.00, True","20.00, 0.08, True","31.00, 0.00, True","39.00, 0.00, True","37.00, 0.00, True","37.00, 0.00, True","37.00, 0.00, True","38.00, 0.00, True","35.00, 0.00, True","29.00, 0.00, True","32.00, 0.00, True","32.00, 0.00, True",A,0.639
template_12,"20.00, 0.16, False","11.00, 0.15, False","10.00, 0.18, False","19.00, 0.37, False","25.00, 0.68, False","31.00, 1.00, False",None,"26.00, 0.89, True","20.00, 0.65, True","20.00, 0.65, True","14.00, 0.39, True","23.00, 0.49, True","19.00, 0.37, True","14.00, 0.24, True","11.00, 0.20, True","18.00, 0.23, True","16.00, 0.16, True","24.00, 0.24, True","19.00, 0.15, True","22.00, 0.11, True","20.00, 0.08, True","13.00, 0.03, True","20.00, 0.06, True","21.00, 0.06, True","19.00, 0.03, True","16.00, 0.01, True","19.00, 0.01, True","32.00, 0.02, True","33.00, 0.02, True","31.00, 0.02, True","30.00, 0.01, True","31.00, 0.01, True","28.00, 0.01, True","30.00, 0.01, True","35.00, 0.01, True","31.00, 0.00, True","14.00, 0.00, True","28.00, 0.00, True","34.00, 0.00, True","28.00, 0.00, True","27.00, 0.00, True","32.00, 0.00, True","30.00, 0.00, True","31.00, 0.00, True","30.00, 0.00, True","15.00, 0.07, True","27.00, 0.00, True","28.00, 0.00, True","29.00, 0.00, True","29.00, 0.00, True","33.00, 0.00, True","27.00, 0.00, True","27.00, 0.00, True","25.00, 0.00, True","30.00, 0.00, True","26.00, 0.00, True",A,0.636
template_30,"19.00, 0.09, False","21.00, 0.17, False","20.00, 0.20, False","15.00, 0.20, False","14.00, 0.39, False","31.00, 0.80, False","26.00, 0.89, False",None,"21.00, 0.88, True","27.00, 0.89, True","29.00, 0.70, True","21.00, 0.66, True","26.00, 0.60, True","27.00, 0.52, True","20.00, 0.46, True","26.00, 0.43, True","23.00, 0.34, True","13.00, 0.23, True","28.00, 0.32, True","24.00, 0.19, True","15.00, 0.09, True","18.00, 0.09, True","23.00, 0.12, True","22.00, 0.11, True","21.00, 0.06, True","22.00, 0.04, True","24.00, 0.04, True","33.00, 0.04, True","35.00, 0.04, True","39.00, 0.04, True","36.00, 0.02, True","31.00, 0.01, True","31.00, 0.01, True","34.00, 0.01, True","38.00, 0.01, True","33.00, 0.01, True","18.00, 0.00, True","34.00, 0.01, True","36.00, 0.01, True","35.00, 0.01, True","29.00, 0.00, True","38.00, 0.01, True","35.00, 0.00, True","36.00, 0.00, True","33.00, 0.00, True","17.00, 0.10, True","32.00, 0.00, True","34.00, 0.00, True","33.00, 0.00, True","35.00, 0.00, True","35.00, 0.00, True","34.00, 0.00, True","35.00, 0.00, True","33.00, 0.00, True","34.00, 0.00, True","32.00, 0.00, True",A,0.63
template_50,"11.00, 0.02, False","13.00, 0.05, False","12.00, 0.07, False","14.00, 0.11, False","14.00, 0.24, False","20.00, 0.55, False","20.00, 0.65, False","21.00, 0.88, False",None,"21.00, 1.00, None","22.00, 0.88, True","15.00, 0.86, True","23.00, 0.78, True","18.00, 0.64, True","18.00, 0.64, True","17.00, 0.52, True","22.00, 0.48, True","16.00, 0.42, True","18.00, 0.36, True","21.00, 0.26, True","15.00, 0.15, True","19.00, 0.15, True","22.00, 0.18, True","21.00, 0.17, True","17.00, 0.08, True","16.00, 0.04, True","23.00, 0.06, True","36.00, 0.07, True","34.00, 0.05, True","39.00, 0.07, True","36.00, 0.04, True","31.00, 0.02, True","31.00, 0.02, True","34.00, 0.02, True","34.00, 0.02, True","31.00, 0.01, True","10.00, 0.00, True","32.00, 0.01, True","37.00, 0.02, True","36.00, 0.01, True","33.00, 0.01, True","35.00, 0.01, True","34.00, 0.01, True","37.00, 0.01, True","34.00, 0.01, True","18.00, 0.09, True","31.00, 0.00, True","32.00, 0.00, True","31.00, 0.00, True","33.00, 0.00, True","35.00, 0.00, True","31.00, 0.00, True","32.00, 0.00, True","31.00, 0.00, True","31.00, 0.00, True","30.00, 0.00, True",B,0.624
template_38,"18.00, 0.05, False","13.00, 0.05, False","13.00, 0.07, False","24.00, 0.19, False","27.00, 0.37, False","26.00, 0.60, False","20.00, 0.65, False","27.00, 0.89, False","21.00, 1.00, True",None,"20.00, 0.88, True","19.00, 0.87, True","27.00, 0.79, True","19.00, 0.64, True","24.00, 0.68, True","16.00, 0.51, True","28.00, 0.53, True","27.00, 0.52, True","14.00, 0.31, True","25.00, 0.30, True","18.00, 0.18, True","23.00, 0.18, True","21.00, 0.17, True","23.00, 0.18, True","25.00, 0.13, True","21.00, 0.06, True","24.00, 0.06, True","36.00, 0.07, True","35.00, 0.06, True","35.00, 0.06, True","37.00, 0.04, True","35.00, 0.03, True","31.00, 0.02, True","32.00, 0.02, True","37.00, 0.02, True","32.00, 0.01, True","18.00, 0.00, True","33.00, 0.01, True","38.00, 0.02, True","35.00, 0.01, True","36.00, 0.01, True","36.00, 0.01, True","32.00, 0.01, True","39.00, 0.01, True","36.00, 0.01, True","16.00, 0.07, True","30.00, 0.00, True","34.00, 0.00, True","33.00, 0.00, True","32.00, 0.00, True","37.00, 0.00, True","32.00, 0.00, True","30.00, 0.00, True","30.00, 0.00, True","35.00, 0.00, True","31.00, 0.00, True",B,0.624
