template_name,card,system_format,num_demos,demos_pool_size,max_instances,accuracy,score,score_name,accuracy_ci_low,accuracy_ci_high,score_ci_low,score_ci_high,groups_mean_score,number_of_instances
template_0,cards.sciq,formats.empty,0,10,100,0.150,0.150,accuracy,0.090,0.230,0.090,0.230,0.150,100
template_1,cards.sciq,formats.empty,0,10,100,0.900,0.900,accuracy,0.830,0.950,0.830,0.950,0.900,100
template_2,cards.sciq,formats.empty,0,10,100,0.000,0.000,accuracy,,,,,0.000,100
template_3,cards.sciq,formats.empty,0,10,100,0.000,0.000,accuracy,,,,,0.000,100
template_4,cards.sciq,formats.empty,0,10,100,0.000,0.000,accuracy,,,,,0.000,100
template_5,cards.sciq,formats.empty,0,10,100,0.000,0.000,accuracy,,,,,0.000,100
template_6,cards.sciq,formats.empty,0,10,100,0.000,0.000,accuracy,,,,,0.000,100
template_7,cards.sciq,formats.empty,0,10,100,0.000,0.000,accuracy,,,,,0.000,100
template_8,cards.sciq,formats.empty,0,10,100,0.000,0.000,accuracy,,,,,0.000,100
template_9,cards.sciq,formats.empty,0,10,100,0.000,0.000,accuracy,,,,,0.000,100
template_10,cards.sciq,formats.empty,0,10,100,0.000,0.000,accuracy,,,,,0.000,100
template_11,cards.sciq,formats.empty,0,10,100,0.000,0.000,accuracy,,,,,0.000,100
template_12,cards.sciq,formats.empty,0,10,100,0.000,0.000,accuracy,,,,,0.000,100
template_13,cards.sciq,formats.empty,0,10,100,0.000,0.000,accuracy,,,,,0.000,100
template_14,cards.sciq,formats.empty,0,10,100,0.480,0.480,accuracy,0.370,0.570,0.370,0.570,0.480,100
template_15,cards.sciq,formats.empty,0,10,100,0.380,0.380,accuracy,0.290,0.470,0.290,0.470,0.380,100
template_16,cards.sciq,formats.empty,0,10,100,0.440,0.440,accuracy,0.340,0.540,0.340,0.540,0.440,100
template_17,cards.sciq,formats.empty,0,10,100,0.510,0.510,accuracy,0.400,0.607,0.400,0.607,0.510,100
template_18,cards.sciq,formats.empty,0,10,100,0.610,0.610,accuracy,0.510,0.700,0.510,0.700,0.610,100
template_19,cards.sciq,formats.empty,0,10,100,0.590,0.590,accuracy,0.490,0.680,0.490,0.680,0.590,100
template_20,cards.sciq,formats.empty,0,10,100,0.370,0.370,accuracy,0.270,0.460,0.270,0.460,0.370,100
template_21,cards.sciq,formats.empty,0,10,100,0.000,0.000,accuracy,,,,,0.000,100
template_22,cards.sciq,formats.empty,0,10,100,0.000,0.000,accuracy,,,,,0.000,100
template_23,cards.sciq,formats.empty,0,10,100,0.000,0.000,accuracy,,,,,0.000,100
template_24,cards.sciq,formats.empty,0,10,100,0.000,0.000,accuracy,,,,,0.000,100
template_25,cards.sciq,formats.empty,0,10,100,0.000,0.000,accuracy,,,,,0.000,100
template_26,cards.sciq,formats.empty,0,10,100,0.000,0.000,accuracy,,,,,0.000,100
template_27,cards.sciq,formats.empty,0,10,100,0.000,0.000,accuracy,,,,,0.000,100
