method,sample_size,gap,gap_std
Best Global Configuration,100,0.16952279420678654,0.0486332936259403
Best Global Configuration,200,0.13979127167732608,0.03244151861360228
Best Global Configuration,500,0.15145154073877123,0.05857204994975842
Best Global Configuration,1000,0.1391572597545738,0.0497803384881335
Best Global Configuration,2000,0.12396490972272844,0.02978597624761008
Best Global Configuration,5000,0.1294518574607761,0.03869137039240954
Best Global Configuration,10000,0.1417508480034496,0.048627464664850364
Best Global Configuration,20000,0.1605857143008968,0.03576600962278748
Best Global Configuration,50000,0.047410843301212306,0.018098792252982866
Best Global Configuration,100000,0.030665777790634376,0.014042715043775867
Best Global Configuration,200000,0.028299854026195292,0.01645931881789622
Best Global Configuration,500000,0.018426128365486037,0.012261712145739533
Best Global Configuration,1000000,0.016608732609102138,0.008276335771439701
Best Global Configuration,2000000,0.01584488462454927,0.011898051738675471
Best Global Configuration,5000000,0.010926987106892539,0.003816915706105657
Best Global Configuration,10000000,0.005106630662821699,0.003431500344027804
Best Global Configuration,20000000,0.005454542464484369,0.0044564044763572815
Best Global Configuration,20439410,0.005788677722436786,0.00435954013805408
Axis-wise Optimization,100,0.05781507398279858,0.04255205031690874
Axis-wise Optimization,200,0.036454845737924874,0.02809804633408361
Axis-wise Optimization,500,0.020236519816711797,0.011867905231987712
Axis-wise Optimization,1000,0.03497565800040142,0.017568794340539595
Axis-wise Optimization,2000,0.03489662694367327,0.025606172890358308
Axis-wise Optimization,5000,0.022608507665510546,0.011324282460578436
Axis-wise Optimization,10000,0.016480444690457063,0.0061723649281322755
Axis-wise Optimization,20000,0.019532407625387493,0.0155430927669667
Axis-wise Optimization,50000,0.018676482890717917,0.009372101922422509
Axis-wise Optimization,100000,0.009060293140968623,0.003824315239687244
Axis-wise Optimization,200000,0.010852455773040304,0.00452480106644868
Axis-wise Optimization,500000,0.008043842692927983,0.0021640009169646432
Axis-wise Optimization,1000000,0.008017093996926915,0.0024242642900355028
Axis-wise Optimization,2000000,0.008284580956937616,0.0023371075200002895
Axis-wise Optimization,5000000,0.006037690492847747,0.0
Axis-wise Optimization,10000000,0.006037690492847747,0.0
Axis-wise Optimization,20000000,0.006037690492847747,0.0
Axis-wise Optimization,20439410,0.006037690492847747,0.0
Random Baseline,100,0.08627176936558907,0.045145170804516875
Random Baseline,200,0.047364415815767266,0.048418443753316213
Random Baseline,500,0.06453983793041809,0.054776499811814865
Random Baseline,1000,0.08793623621873035,0.05143515943463287
Random Baseline,2000,0.08301575477411241,0.06380313631496229
Random Baseline,5000,0.0750135408570243,0.05490154521421067
Random Baseline,10000,0.07618061423948294,0.04194266800279323
Random Baseline,20000,0.10152838442266532,0.081029664094949
Random Baseline,50000,0.0752864324800541,0.047062836423530284
Random Baseline,100000,0.08278447494158975,0.052062715221988416
Random Baseline,200000,0.06199167269330765,0.028659079381700984
Random Baseline,500000,0.10921148171147928,0.06200296033853872
Random Baseline,1000000,0.07822594659945341,0.0532389214642682
Random Baseline,2000000,0.049372973494099255,0.025194698823269204
Random Baseline,5000000,0.06390241454261265,0.03684093482594421
Random Baseline,10000000,0.10634740908684961,0.07468892048448457
Random Baseline,20000000,0.09499923641276672,0.05210706963547061
Random Baseline,20439410,0.047226015076726205,0.021835203804179887
Regression Predictor,100,0.047870758989655905,0.03428137662407046
Regression Predictor,200,0.03277255150063195,0.016324112867682226
Regression Predictor,500,0.033455103893944405,0.01644675065090277
Regression Predictor,1000,0.03516702043801288,0.018000779375328756
Regression Predictor,2000,0.032451745665682166,0.015264138261505831
Regression Predictor,5000,0.022734518681355377,0.010736935037044742
Regression Predictor,10000,0.025749760139159205,0.013436700836145534
Regression Predictor,20000,0.01682689964988232,0.0068402076571336574
Regression Predictor,50000,0.015907992854607166,0.009963714124666583
Regression Predictor,100000,0.011400804041062241,0.005961254622929123
Regression Predictor,200000,0.01029073315701784,0.00440534051112266
Regression Predictor,500000,0.009073667488969173,0.0018357967392995812
Regression Predictor,1000000,0.008458447480944565,0.0021276986217453535
Regression Predictor,2000000,0.009006795748966501,0.002996450961741364
Regression Predictor,5000000,0.008097340084930127,0.0021333657222512067
Regression Predictor,10000000,0.00764261225291194,0.0013104131297489217
Regression Predictor,20000000,0.007375125292901241,0.0013374348000534943
Regression Predictor,20439410,0.00764261225291194,0.0013104131297489217
