"statistic, pvalue, row is better than column",best set: template_4,template_6,template_8,template_0,template_10,template_2,template_12,template_24,template_18,template_26,template_36,template_13,template_20,template_22,template_14,template_23,template_21,template_52,template_54,template_38,template_27,template_9,template_16,template_55,template_34,template_11,template_51,template_19,template_32,template_5,template_39,template_45,template_48,template_53,template_46,template_50,template_3,template_17,template_31,template_28,template_25,template_42,template_47,template_43,template_15,template_29,template_33,template_37,template_7,template_41,template_49,template_35,template_40,template_44,template_1,template_30,group,accuracy
template_4,None,"3.00, 1.00, True","4.00, 0.75, True","5.00, 0.77, True","3.00, 0.34, True","4.00, 0.39, True","3.00, 0.34, True","3.00, 0.34, True","4.00, 0.27, True","5.00, 0.30, True","5.00, 0.30, True","10.00, 0.42, True","4.00, 0.18, True","2.00, 0.11, True","3.00, 0.09, True","11.00, 0.26, True","10.00, 0.25, True","4.00, 0.12, True","4.00, 0.12, True","4.00, 0.12, True","9.00, 0.17, True","10.00, 0.18, True","2.00, 0.04, True","9.00, 0.17, True","4.00, 0.08, True","8.00, 0.15, True","9.00, 0.12, True","8.00, 0.11, True","3.00, 0.04, True","9.00, 0.12, True","8.00, 0.11, True","9.00, 0.12, True","2.00, 0.01, True","9.00, 0.09, True","1.00, 0.01, True","2.00, 0.01, True","8.00, 0.08, True","9.00, 0.09, True","8.00, 0.08, True","4.00, 0.03, True","7.00, 0.06, True","2.00, 0.01, True","7.00, 0.04, True","6.00, 0.03, True","7.00, 0.04, True","8.00, 0.04, True","8.00, 0.04, True","8.00, 0.04, True","9.00, 0.04, True","8.00, 0.04, True","6.00, 0.02, True","7.00, 0.02, True","6.00, 0.01, True","2.00, 0.00, True","8.00, 0.02, True","3.00, 0.00, True",A,0.7
template_6,"3.00, 1.00, False",None,"4.00, 1.00, True","6.00, 1.00, True","3.00, 0.51, True","2.00, 0.45, True","6.00, 0.61, True","4.00, 0.55, True","6.00, 0.45, True","6.00, 0.45, True","6.00, 0.45, True","11.00, 0.56, True","4.00, 0.27, True","2.00, 0.18, True","4.00, 0.18, True","12.00, 0.36, True","11.00, 0.34, True","6.00, 0.24, True","6.00, 0.24, True","6.00, 0.24, True","11.00, 0.26, True","11.00, 0.26, True","1.00, 0.04, True","9.00, 0.23, True","5.00, 0.14, True","9.00, 0.23, True","9.00, 0.17, True","9.00, 0.17, True","4.00, 0.08, True","11.00, 0.20, True","10.00, 0.18, True","9.00, 0.17, True","3.00, 0.04, True","9.00, 0.12, True","3.00, 0.04, True","2.00, 0.02, True","9.00, 0.12, True","10.00, 0.14, True","10.00, 0.14, True","5.00, 0.06, True","9.00, 0.12, True","5.00, 0.04, True","7.00, 0.06, True","6.00, 0.05, True","7.00, 0.06, True","9.00, 0.06, True","9.00, 0.06, True","8.00, 0.05, True","10.00, 0.07, True","9.00, 0.06, True","8.00, 0.05, True","8.00, 0.04, True","7.00, 0.03, True","2.00, 0.00, True","10.00, 0.05, True","3.00, 0.00, True",A,0.69
template_8,"4.00, 0.75, False","4.00, 1.00, False",None,"7.00, 1.00, None","4.00, 0.75, True","4.00, 0.75, True","5.00, 0.77, True","4.00, 0.75, True","5.00, 0.58, True","4.00, 0.55, True","4.00, 0.55, True","13.00, 0.71, True","4.00, 0.39, True","2.00, 0.29, True","5.00, 0.30, True","13.00, 0.47, True","12.00, 0.46, True","6.00, 0.33, True","5.00, 0.30, True","5.00, 0.30, True","12.00, 0.36, True","12.00, 0.36, True","1.00, 0.07, True","11.00, 0.34, True","5.00, 0.21, True","10.00, 0.33, True","11.00, 0.26, True","10.00, 0.25, True","5.00, 0.14, True","12.00, 0.28, True","11.00, 0.26, True","11.00, 0.26, True","1.00, 0.02, True","12.00, 0.22, True","3.00, 0.06, True","0.00, 0.01, True","10.00, 0.18, True","10.00, 0.18, True","11.00, 0.20, True","4.00, 0.08, True","10.00, 0.18, True","4.00, 0.05, True","9.00, 0.12, True","7.00, 0.09, True","8.00, 0.11, True","11.00, 0.11, True","10.00, 0.10, True","10.00, 0.10, True","11.00, 0.11, True","10.00, 0.10, True","9.00, 0.09, True","9.00, 0.06, True","6.00, 0.03, True","2.00, 0.01, True","11.00, 0.08, True","2.00, 0.00, True",A,0.68
template_0,"5.00, 0.77, False","6.00, 1.00, False","7.00, 1.00, True",None,"4.00, 0.75, True","7.00, 0.80, True","5.00, 0.77, True","3.00, 0.73, True","6.00, 0.61, True","5.00, 0.58, True","7.00, 0.63, True","13.00, 0.71, True","7.00, 0.48, True","5.00, 0.42, True","2.00, 0.18, True","14.00, 0.49, True","13.00, 0.47, True","5.00, 0.30, True","3.00, 0.23, True","5.00, 0.30, True","12.00, 0.36, True","13.00, 0.38, True","5.00, 0.21, True","11.00, 0.34, True","6.00, 0.24, True","11.00, 0.34, True","11.00, 0.26, True","11.00, 0.26, True","5.00, 0.14, True","13.00, 0.30, True","12.00, 0.28, True","11.00, 0.26, True","5.00, 0.10, True","12.00, 0.22, True","5.00, 0.10, True","3.00, 0.06, True","11.00, 0.20, True","12.00, 0.22, True","12.00, 0.22, True","4.00, 0.08, True","10.00, 0.18, True","2.00, 0.02, True","10.00, 0.14, True","7.00, 0.09, True","8.00, 0.11, True","10.00, 0.10, True","11.00, 0.11, True","11.00, 0.11, True","12.00, 0.12, True","12.00, 0.12, True","9.00, 0.09, True","10.00, 0.07, True","5.00, 0.03, True","4.00, 0.02, True","9.00, 0.06, True","6.00, 0.02, True",A,0.68
template_10,"3.00, 0.34, False","3.00, 0.51, False","4.00, 0.75, False","4.00, 0.75, False",None,"8.00, 1.00, None","5.00, 1.00, None","4.00, 1.00, None","7.00, 1.00, True","6.00, 1.00, True","6.00, 1.00, True","13.00, 1.00, True","8.00, 0.81, True","6.00, 0.79, True","6.00, 0.61, True","15.00, 0.73, True","14.00, 0.72, True","4.00, 0.55, True","3.00, 0.51, True","5.00, 0.58, True","14.00, 0.60, True","14.00, 0.60, True","5.00, 0.42, True","12.00, 0.57, True","7.00, 0.48, True","12.00, 0.57, True","12.00, 0.46, True","12.00, 0.46, True","5.00, 0.30, True","13.00, 0.47, True","13.00, 0.47, True","12.00, 0.46, True","6.00, 0.24, True","13.00, 0.38, True","5.00, 0.21, True","4.00, 0.18, True","12.00, 0.36, True","13.00, 0.38, True","12.00, 0.36, True","6.00, 0.24, True","12.00, 0.36, True","4.00, 0.12, True","11.00, 0.26, True","9.00, 0.23, True","10.00, 0.25, True","11.00, 0.20, True","12.00, 0.22, True","12.00, 0.22, True","13.00, 0.23, True","12.00, 0.22, True","11.00, 0.20, True","11.00, 0.15, True","6.00, 0.08, True","4.00, 0.05, True","12.00, 0.16, True","5.00, 0.04, True",A,0.66
template_2,"4.00, 0.39, False","2.00, 0.45, False","4.00, 0.75, False","7.00, 0.80, False","8.00, 1.00, True",None,"9.00, 1.00, None","7.00, 1.00, None","8.00, 1.00, True","8.00, 1.00, True","7.00, 1.00, True","15.00, 1.00, True","6.00, 0.79, True","3.00, 0.73, True","7.00, 0.63, True","14.00, 0.72, True","13.00, 0.71, True","10.00, 0.68, True","10.00, 0.68, True","9.00, 0.66, True","14.00, 0.60, True","13.00, 0.58, True","2.00, 0.29, True","12.00, 0.57, True","8.00, 0.50, True","11.00, 0.56, True","12.00, 0.46, True","11.00, 0.44, True","8.00, 0.38, True","13.00, 0.47, True","12.00, 0.46, True","11.00, 0.44, True","5.00, 0.21, True","12.00, 0.36, True","5.00, 0.21, True","4.00, 0.18, True","11.00, 0.34, True","12.00, 0.36, True","12.00, 0.36, True","6.00, 0.24, True","11.00, 0.34, True","7.00, 0.19, True","11.00, 0.26, True","8.00, 0.21, True","9.00, 0.23, True","11.00, 0.20, True","11.00, 0.20, True","10.00, 0.18, True","12.00, 0.22, True","11.00, 0.20, True","10.00, 0.18, True","11.00, 0.15, True","8.00, 0.11, True","3.00, 0.04, True","11.00, 0.15, True","4.00, 0.03, True",A,0.66
template_12,"3.00, 0.34, False","6.00, 0.61, False","5.00, 0.77, False","5.00, 0.77, False","5.00, 1.00, True","9.00, 1.00, True",None,"5.00, 1.00, None","6.00, 1.00, True","5.00, 1.00, True","8.00, 1.00, True","12.00, 1.00, True","8.00, 0.81, True","6.00, 0.79, True","5.00, 0.58, True","14.00, 0.72, True","13.00, 0.71, True","5.00, 0.58, True","3.00, 0.51, True","8.00, 0.65, True","11.00, 0.56, True","13.00, 0.58, True","7.00, 0.48, True","11.00, 0.56, True","7.00, 0.48, True","10.00, 0.54, True","12.00, 0.46, True","11.00, 0.44, True","6.00, 0.33, True","11.00, 0.44, True","12.00, 0.46, True","12.00, 0.46, True","5.00, 0.21, True","13.00, 0.38, True","5.00, 0.21, True","5.00, 0.21, True","10.00, 0.33, True","11.00, 0.34, True","11.00, 0.34, True","7.00, 0.26, True","10.00, 0.33, True","3.00, 0.09, True","11.00, 0.26, True","8.00, 0.21, True","9.00, 0.23, True","11.00, 0.20, True","11.00, 0.20, True","11.00, 0.20, True","11.00, 0.20, True","12.00, 0.22, True","9.00, 0.17, True","10.00, 0.14, True","7.00, 0.09, True","5.00, 0.06, True","11.00, 0.15, True","6.00, 0.05, True",A,0.66
template_24,"3.00, 0.34, False","4.00, 0.55, False","4.00, 0.75, False","3.00, 0.73, False","4.00, 1.00, True","7.00, 1.00, True","5.00, 1.00, True",None,"4.00, 1.00, True","3.00, 1.00, True","7.00, 1.00, True","13.00, 1.00, True","5.00, 0.77, True","5.00, 0.77, True","3.00, 0.51, True","13.00, 0.71, True","12.00, 0.70, True","5.00, 0.58, True","4.00, 0.55, True","6.00, 0.61, True","11.00, 0.56, True","12.00, 0.57, True","4.00, 0.39, True","11.00, 0.56, True","4.00, 0.39, True","10.00, 0.54, True","11.00, 0.44, True","10.00, 0.42, True","3.00, 0.23, True","12.00, 0.46, True","11.00, 0.44, True","11.00, 0.44, True","4.00, 0.18, True","12.00, 0.36, True","4.00, 0.18, True","4.00, 0.18, True","10.00, 0.33, True","11.00, 0.34, True","11.00, 0.34, True","4.00, 0.18, True","9.00, 0.31, True","2.00, 0.07, True","10.00, 0.25, True","7.00, 0.19, True","8.00, 0.21, True","10.00, 0.18, True","10.00, 0.18, True","10.00, 0.18, True","11.00, 0.20, True","11.00, 0.20, True","8.00, 0.15, True","9.00, 0.12, True","4.00, 0.05, True","5.00, 0.06, True","10.00, 0.14, True","4.00, 0.03, True",A,0.66
template_18,"4.00, 0.27, False","6.00, 0.45, False","5.00, 0.58, False","6.00, 0.61, False","7.00, 1.00, False","8.00, 1.00, False","6.00, 1.00, False","4.00, 1.00, False",None,"6.00, 1.00, None","7.00, 1.00, None","12.00, 1.00, None","3.00, 1.00, True","6.00, 1.00, True","5.00, 0.77, True","12.00, 0.85, True","11.00, 0.84, True","6.00, 0.79, True","7.00, 0.80, True","9.00, 0.82, True","10.00, 0.68, True","12.00, 0.70, True","6.00, 0.61, True","10.00, 0.68, True","6.00, 0.61, True","11.00, 0.69, True","11.00, 0.56, True","8.00, 0.50, True","5.00, 0.42, True","10.00, 0.54, True","10.00, 0.54, True","11.00, 0.56, True","4.00, 0.27, True","10.00, 0.42, True","2.00, 0.18, True","5.00, 0.30, True","10.00, 0.42, True","10.00, 0.42, True","10.00, 0.42, True","6.00, 0.33, True","9.00, 0.40, True","4.00, 0.18, True","8.00, 0.29, True","6.00, 0.24, True","7.00, 0.26, True","9.00, 0.23, True","9.00, 0.23, True","9.00, 0.23, True","10.00, 0.25, True","10.00, 0.25, True","7.00, 0.19, True","8.00, 0.15, True","7.00, 0.13, True","5.00, 0.10, True","10.00, 0.18, True","6.00, 0.08, True",A,0.65
template_26,"5.00, 0.30, False","6.00, 0.45, False","4.00, 0.55, False","5.00, 0.58, False","6.00, 1.00, False","8.00, 1.00, False","5.00, 1.00, False","3.00, 1.00, False","6.00, 1.00, True",None,"9.00, 1.00, None","14.00, 1.00, None","8.00, 1.00, True","6.00, 1.00, True","6.00, 0.79, True","14.00, 0.86, True","14.00, 0.86, True","6.00, 0.79, True","5.00, 0.77, True","7.00, 0.80, True","11.00, 0.69, True","14.00, 0.72, True","6.00, 0.61, True","13.00, 0.71, True","5.00, 0.58, True","11.00, 0.69, True","13.00, 0.58, True","11.00, 0.56, True","5.00, 0.42, True","14.00, 0.60, True","12.00, 0.57, True","13.00, 0.58, True","7.00, 0.36, True","12.00, 0.46, True","6.00, 0.33, True","5.00, 0.30, True","12.00, 0.46, True","13.00, 0.47, True","12.00, 0.46, True","7.00, 0.36, True","10.00, 0.42, True","6.00, 0.24, True","11.00, 0.34, True","9.00, 0.31, True","10.00, 0.33, True","11.00, 0.26, True","11.00, 0.26, True","12.00, 0.28, True","13.00, 0.30, True","12.00, 0.28, True","10.00, 0.25, True","10.00, 0.18, True","4.00, 0.08, True","7.00, 0.13, True","12.00, 0.22, True","7.00, 0.09, True",A,0.65
